hust_imaging_id,cell_name,input_reconstruction_batch_id,swc_path,swc_node_identifier,coordinate_type_id,x_coordinate,y_coordinate,z_coordinate,batch_id,created_at,structure_label,hemisphere,surround
1,AA0920,202205111930_upload_registered_reconstructions,AA0920.swc,1,ccf_ASL_micron,7255.046468,3586.571327,3654.821529,202205111937_upload_soma_locations,5/11/2022 19:37,VPM,left,"{""structures"": [{""VPM"": 1.0}]}"
1,AA0921,202205111930_upload_registered_reconstructions,AA0921.swc,1,ccf_ASL_micron,6890.589988,4580.387512,4728.150236,202205111937_upload_soma_locations,5/11/2022 19:37,VAL,left,"{""structures"": [{""VAL"": 1.0}]}"
1,AA0922,202205111930_upload_registered_reconstructions,AA0922.swc,1,ccf_ASL_micron,11842.37317,5752.127123,5170.362015,202205111937_upload_soma_locations,5/11/2022 19:37,IRN,left,"{""structures"": [{""IRN"": 0.638}, {""GRN"": 0.362}]}"
1,AA0923,202205111930_upload_registered_reconstructions,AA0923.swc,1,ccf_ASL_micron,5679.940839,1383.755542,6916.845519,202205111937_upload_soma_locations,5/11/2022 19:37,MOp5,right,"{""structures"": [{""MOp5"": 0.999}, {""MOp6a"": 0.001}]}"
1,AA0924,202205111930_upload_registered_reconstructions,AA0924.swc,1,ccf_ASL_micron,6759.633884,6458.746082,9500.959251,202205111937_upload_soma_locations,5/11/2022 19:37,PIR,right,"{""structures"": [{""PIR"": 1.0}]}"
1,AA0925,202205111930_upload_registered_reconstructions,AA0925.swc,1,ccf_ASL_micron,6831.909217,4483.613317,6790.713153,202205111937_upload_soma_locations,5/11/2022 19:37,VAL,right,"{""structures"": [{""VAL"": 0.942}, {""PO"": 0.056}, {""VPM"": 0.002}]}"
1,AA0926,202205111930_upload_registered_reconstructions,AA0926.swc,1,ccf_ASL_micron,4745.631747,1758.744738,7123.496451,202205111937_upload_soma_locations,5/11/2022 19:37,MOp5,right,"{""structures"": [{""MOp5"": 1.0}]}"
1,AA0927,202205111930_upload_registered_reconstructions,AA0927.swc,1,ccf_ASL_micron,4425.004704,1878.836037,7180.045442,202205111937_upload_soma_locations,5/11/2022 19:37,MOp5,right,"{""structures"": [{""MOp5"": 1.0}]}"
1,AA0928,202205111930_upload_registered_reconstructions,AA0928.swc,1,ccf_ASL_micron,6308.048087,6689.211694,8087.678911,202205111937_upload_soma_locations,5/11/2022 19:37,BMAa,right,"{""structures"": [{""BMAa"": 0.939}, {""OLF"": 0.037}, {""NLOT3"": 0.012}, {""COAa"": 0.012}]}"
1,AA0929,202205111930_upload_registered_reconstructions,AA0929.swc,1,ccf_ASL_micron,3080.106999,4328.834786,6447.973541,202205111937_upload_soma_locations,5/11/2022 19:37,ORBvl2/3,right,"{""structures"": [{""ORBvl2/3"": 0.9}, {""OLF"": 0.1}]}"
